txn_id,utr,bank_status,hold_reason,timestamp
TXN1001,UTR1001,processed,,2025-01-01 10:05:00
TXN1002,UTR1002,processed,,2025-01-01 11:05:00
TXN1003,UTR1003,held,bank_holiday,2025-01-02 09:05:00
TXN1004,UTR1004,processed,,2025-01-02 10:05:00
TXN1005,UTR1005,held,kyc_hold,2025-01-03 08:05:00
TXN1006,UTR1006,processed,,2025-01-03 14:05:00
TXN1007,UTR1007,processed,,2025-01-04 09:35:00
TXN1008,UTR1008,processed,,2025-01-04 16:05:00
TXN1009,UTR1009,processed,,2025-01-05 10:05:00
TXN1010,UTR1010,processed,,2025-01-05 11:35:00
TXN1011,UTR1011,processed,,2025-01-06 09:05:00
TXN1012,UTR1012,processed,,2025-01-06 10:05:00
TXN1013,UTR1013,processed,,2025-01-06 11:05:00
TXN1014,UTR1014,processed,,2025-01-06 12:05:00
TXN1015,UTR1015,processed,,2025-01-06 13:05:00
