txn_id,gateway_status,amount,fee,timestamp
TXN1001,captured,1000,20,2025-01-01 10:00:00
TXN1002,captured,2000,40,2025-01-01 11:00:00
TXN1003,captured,1500,30,2025-01-02 09:00:00
TXN1004,captured,3000,60,2025-01-02 10:00:00
TXN1005,captured,500,10,2025-01-03 08:00:00
TXN1006,captured,1200,25,2025-01-03 14:00:00
TXN1007,captured,800,15,2025-01-04 09:30:00
TXN1008,captured,2500,50,2025-01-04 16:00:00
TXN1009,captured,1000,20,2025-01-05 10:00:00
TXN1010,captured,1750,35,2025-01-05 11:30:00
TXN1011,captured,2200,44,2025-01-06 09:00:00
TXN1012,captured,1350,27,2025-01-06 10:00:00
TXN1013,captured,4000,80,2025-01-06 11:00:00
TXN1014,captured,750,15,2025-01-06 12:00:00
TXN1015,captured,1800,36,2025-01-06 13:00:00
